Subtitle #1 | Start: 216000 | End: 216077 | Duration: 77 | Text: 大家好我是Mars
Subtitle #52 | Start: 221202 | End: 221252 | Duration: 50 | Text: 針對白髮呢
Subtitle #53 | Start: 221252 | End: 221382 | Duration: 130 | Text: 我用最簡單的配方比例
Subtitle #54 | Start: 221382 | End: 221475 | Duration: 93 | Text: 去做到能夠實現
Subtitle #55 | Start: 221475 | End: 221578 | Duration: 103 | Text: 白髮既有霧透感
Subtitle #56 | Start: 221578 | End: 221761 | Duration: 183 | Text: 它也能蓋到70% 80%的程度
Subtitle #57 | Start: 221761 | End: 221893 | Duration: 132 | Text: 我們只需要一碗就能夠搞定
Subtitle #58 | Start: 221893 | End: 222033 | Duration: 140 | Text: 你做霧感色系的客人
Subtitle #59 | Start: 222033 | End: 222092 | Duration: 59 | Text: 他終究有一天
Subtitle #60 | Start: 222092 | End: 222205 | Duration: 113 | Text: 他也可能會需要做到漂髮
Subtitle #61 | Start: 222205 | End: 222305 | Duration: 100 | Text: 你做漂髮的客人
Subtitle #62 | Start: 222305 | End: 222415 | Duration: 110 | Text: 他也有一天可能會回歸到
Subtitle #63 | Start: 222415 | End: 222507 | Duration: 92 | Text: 這種霧感的生活色
Subtitle #64 | Start: 222507 | End: 222675 | Duration: 168 | Text: 所以我會把這兩種的理論
Subtitle #65 | Start: 222675 | End: 222743 | Duration: 68 | Text: 把它套在一起
Subtitle #66 | Start: 222743 | End: 222912 | Duration: 169 | Text: 在課堂上實作展現給各位看
Subtitle #67 | Start: 222913 | End: 223045 | Duration: 132 | Text: 用很精準的理論去分析出來
Subtitle #68 | Start: 223045 | End: 223161 | Duration: 116 | Text: 你的消費者應該更適合哪一種
Subtitle #69 | Start: 223161 | End: 223263 | Duration: 102 | Text: 讓所有的設計師能夠更好的運用
